Time[s],TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU11::SCU_POS_TAR,TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU11::SCU_POS_ACT,TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU_MCP::SCU_S2_PWM
25.350000,7,7,54.300000
25.360000,7,7,54.300000
25.370000,7,7,54.300000
25.380000,7,7,54.300000
25.390000,7,7,54.300000
25.400000,7,7,54.300000
25.410000,7,7,54.300000
25.420000,6,7,54.300000
25.430000,6,7,54.300000
25.440000,6,7,54.300000
25.450000,6,7,54.300000
25.460000,6,7,54.300000
25.470000,6,7,54.246324
25.480000,6,7,53.613367
25.490000,6,7,52.026330
25.500000,6,7,49.786366
25.510000,6,7,47.135576
25.520000,6,7,43.101392
25.530000,6,7,39.103074
25.540000,6,7,37.541154
25.550000,6,7,37.400000
25.560000,6,7,37.400000
25.570000,6,6,37.400000
25.580000,6,6,37.347579
25.590000,6,6,37.247320
25.600000,6,6,37.200000
25.610000,6,6,37.200000
25.620000,6,6,37.200000
25.630000,6,6,37.200000
25.640000,6,6,37.200000
25.650000,6,6,37.200000
25.660000,6,6,37.200000
25.670000,6,6,37.200000
25.680000,6,6,37.200000
25.690000,6,6,37.200000
25.700000,6,6,37.200000
25.710000,6,6,37.200000
25.720000,6,6,37.200000
25.730000,6,6,37.200000
25.740000,6,6,37.200000
25.750000,6,6,37.200000
25.760000,6,6,37.200000
25.770000,6,6,37.200000
25.780000,6,6,37.200000
25.790000,6,6,37.200000
25.800000,6,6,37.200000
25.810000,6,6,37.200000
25.820000,6,6,37.200000
25.830000,6,6,37.200000
25.840000,6,6,37.200000
25.850000,6,6,37.200000
25.860000,6,6,37.200000
25.870000,6,6,37.200000
25.880000,6,6,37.200000
25.890000,6,6,37.200000
25.900000,6,6,37.200000
25.910000,6,6,37.200000
25.920000,6,6,37.200000
25.930000,6,6,37.200000
25.940000,6,6,37.200000
25.950000,6,6,37.200000
25.960000,6,6,37.200000
25.970000,6,6,37.200000
25.980000,6,6,37.200000
25.990000,6,6,37.200000
26.000000,6,6,37.200000
26.010000,6,6,37.200000
26.020000,6,6,37.200000
26.030000,6,6,37.200000
26.040000,6,6,37.200000
26.050000,6,6,37.200000
26.060000,6,6,37.200000
26.070000,6,6,37.200000
26.080000,6,6,37.200000
26.090000,6,6,37.200000
26.100000,6,6,37.200000
26.110000,6,6,37.200000
26.120000,6,6,37.200000
26.130000,6,6,37.200000
26.140000,6,6,37.200000
26.150000,6,6,37.200000
26.160000,6,6,37.200000
26.170000,6,6,37.200000
26.180000,6,6,37.200000
26.190000,6,6,37.200000
26.200000,6,6,37.200000
26.210000,6,6,37.200000
26.220000,6,6,37.200000
26.230000,6,6,37.200000
26.240000,6,6,37.200000
26.250000,6,6,37.200000
26.260000,6,6,37.200000
26.270000,6,6,37.200000
26.280000,6,6,37.200000
26.290000,6,6,37.200000
26.300000,6,6,37.200000
26.310000,6,6,37.200000
26.320000,6,6,37.200000
26.330000,6,6,37.200000
26.340000,6,6,37.200000
26.350000,6,6,37.200000
26.360000,6,6,37.200000
26.370000,6,6,37.200000
26.380000,6,6,37.200000
26.390000,6,6,37.200000
26.400000,6,6,37.200000
26.410000,6,6,37.200000
